Date,Type,Team,Goalkeeper,MIN,GA,SV,CS,PCH,TCH,DS,SS,ACIB,ACOB,OG
45885,Regular,Calgary Wild FC,Stephanie Bukovec,90,0,3,1,1,51,0,1,9,4,0
45885,Regular,Halifax Tides FC,Sophie Daphnée Marion Eliane Guilmette,90,1,3,0,0,25,2,0,6,3,0
45886,Regular,AFC Toronto,Sierra Deolinda Cota-Yarde,90,1,4,0,0,26,0,0,8,4,0
45886,Regular,Vancouver Rise FC,Morgan McAslan,90,0,6,1,1,46,1,0,10,4,0
45892,Regular,Montreal Roses FC,Gabrielle Lambert,90,0,3,1,0,45,2,0,6,2,0
45892,Regular,Calgary Wild FC,Stephanie Bukovec,90,2,6,0,0,48,0,0,8,5,0
45893,Regular,Ottawa Rapid FC,Melissa Dagenais,90,3,3,0,1,39,1,0,7,4,0
45893,Regular,Vancouver Rise FC,Morgan McAslan,90,2,1,0,0,29,0,0,5,1,0
45897,Regular,Ottawa Rapid FC,Melissa Dagenais,90,0,2,1,2,46,1,0,7,7,0
45897,Regular,Halifax Tides FC,Anika Tóth,90,5,1,0,0,35,0,0,5,10,0
45899,Regular,AFC Toronto,Sierra Deolinda Cota-Yarde,90,0,2,1,0,36,0,1,2,3,0
45899,Regular,Calgary Wild FC,Stephanie Bukovec,90,2,3,0,1,49,0,0,11,3,0
45899,Regular,Vancouver Rise FC,Morgan McAslan,90,1,2,0,0,29,1,0,8,5,0
45899,Regular,Montreal Roses FC,Gabrielle Lambert,90,2,2,0,1,57,0,0,7,6,0
45906,Regular,Halifax Tides FC,Anika Tóth,90,1,4,0,1,39,1,0,6,6,0
45906,Regular,AFC Toronto,Sierra Deolinda Cota-Yarde,90,0,3,1,1,41,0,1,5,5,0
45906,Regular,Vancouver Rise FC,Morgan McAslan,90,0,5,1,0,38,0,0,10,2,0
45906,Regular,Calgary Wild FC,Stephanie Bukovec,90,6,2,0,0,44,0,0,17,7,0
45906,Regular,Ottawa Rapid FC,Melissa Dagenais,90,0,5,1,0,39,3,0,4,6,0
45906,Regular,Montreal Roses FC,Anna Karpenko,90,0,3,1,2,59,2,0,8,6,0
45913,Regular,Halifax Tides FC,Anika Tóth,90,1,6,0,0,49,0,3,9,5,0
45913,Regular,Ottawa Rapid FC,Melissa Dagenais,90,1,3,0,2,42,1,0,5,5,0
45913,Regular,AFC Toronto,Sierra Deolinda Cota-Yarde,90,0,1,1,1,34,0,0,5,3,0
45913,Regular,Vancouver Rise FC,Morgan McAslan,90,7,9,0,1,40,3,1,22,6,0
45913,Regular,Calgary Wild FC,Stephanie Bukovec,90,5,5,0,0,37,2,0,15,3,0
45913,Regular,Montreal Roses FC,Anna Karpenko,90,0,0,1,0,36,0,0,2,3,0
45917,Regular,Calgary Wild FC,Stephanie Bukovec,90,2,3,0,0,42,1,0,9,6,0
45917,Regular,Ottawa Rapid FC,Melissa Dagenais,90,1,2,0,1,42,1,0,9,8,0
45918,Regular,Montreal Roses FC,Gabrielle Lambert,90,0,3,1,0,40,0,0,3,2,0
45918,Regular,Halifax Tides FC,Anika Tóth,90,2,5,0,1,30,0,0,6,11,0
